,Price,Adress,Total Finished Area:,Bedrooms:,Bathrooms:,Architectural Style:,Association Fee Includes:,Built in:,Condo Fees:,Construction Materials:,Cooling:,Exterior Features:,Fireplace Features:,Floor Space (approx):,Flooring:,Foundation Details:,Heating:,Interior Features:,Levels:,Parking Features:,Roof:,Zoning:,Lot Size:,Utilities:,Water Source:,Sewer:,Air Conditioning:,Pool:,Irregular:,Waterfront Features:,Garage:,Style:,Building Type:,Amenities:,Exterior Finish:,Fireplace:,Heating Type:,Cooling Type:,OwnershipType:,Property Type:,Features:,No. of Parking Spaces:
729,"$799,900","528 7 Avenue NW, Calgary, AB, T2N 0Y9",1436.60,2+1,3+1,"2 Storey, Side by Side",,1990,,"Composite Siding, Wood Frame",None,"Private Entrance, Private Yard, Storage","Gas, Living Room, Masonry",1436.60 Square Feet,"Carpet, Hardwood",Wood,"Fireplace(s), Forced Air, Natural Gas","Closet Organizers, Granite Counters, High Ceilings, Kitchen Island, Open Floorplan, Pantry, Storage, Vaulted Ceiling(s), Walk-In Closet(s)",Two,"Garage Door Opener, Single Garage Detached",Asphalt Shingle,R-C2,3121.00 Square Feet,,,,,,Yes,,,,,,,,,,,,,
730,"$939,900","529 Quarry Green SE, Calgary, AB, T2C 5G5",2547.32,3+1,3+1,2 Storey,,2011,,Wood Frame,Central Air,Private Yard,"Gas, Great Room",2547.32 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"Make-up Air, Forced Air, Natural Gas, Zoned","Breakfast Bar, Built-in Features, Central Vacuum, Closet Organizers, Granite Counters, Kitchen Island, No Smoking Home, Open Floorplan, Pantry, Tankless Hot Water, Vaulted Ceiling(s), Walk-In Closet(s)",Two,"Double Garage Attached, Driveway, Garage Door Opener",Asphalt Shingle,R-1,6135.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
731,"$265,000","5309-69 Country Village Manor NE, Calgary, AB, T3K 0P1",844.00,2+0,2+0,Apartment,"Common Area Maintenance, Heat, Insurance, Parking, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Water",2010,$449 Monthly,"Vinyl Siding, Wood Frame",None,Other,,844.00 Square Feet,"Carpet, Ceramic Tile",Poured Concrete,"Baseboard, Natural Gas",No Smoking Home,Single Level Unit,"Parkade, Titled",Asphalt Shingle,DC (pre 1P2007),39826.00 Square Feet,,,,,,,,,,,,,,,,,,,
732,"$184,900","5311-315 Southampton Drive SW, Calgary, AB, T2W 2T6",823.78,2+0,1+0,Apartment,"Common Area Maintenance, Heat, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash, Water",1976,$484 Monthly,"Cedar, Concrete",None,"Basketball Court, Courtyard, Playground, Storage, Tennis Court(s)","Decorative, None",823.78 Square Feet,Carpet,Poured Concrete,Baseboard,"Recreation Facilities, See Remarks, Storage",Single Level Unit,"Parking Lot, Plug-In, Stall",Flat,M-C1 d75,,,,,,,,,,,,,,,,,,,,
733,"$1,225,000","535 34A Street NW, Calgary, AB, T2N 2Y6",1937.66,3+1,3+1,2 Storey,,2023,,Composite Siding,Rough-In,None,Gas,1937.66 Square Feet,"Hardwood, Tile",Poured Concrete,Forced Air,"Built-in Features, Double Vanity, Kitchen Island, No Animal Home, No Smoking Home, Soaking Tub, Walk-In Closet(s), Wet Bar",Two,Double Garage Detached,Asphalt Shingle,R-C2,2999.00 Square Feet,,,,,,,,,,,,,,,,,,,
734,"$279,000","54-9908 Bonaventure Drive SE, Calgary, AB, T2J 5E3",1106.00,3+0,1+1,2 Storey,"Amenities of HOA/Condo, Common Area Maintenance, Insurance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Snow Removal, Trash",1976,$303 Monthly,Wood Frame,None,Other,"Brick Facing, Living Room, Wood Burning",1106.00 Square Feet,"Carpet, Linoleum",Poured Concrete,"Floor Furnace, Natural Gas",See Remarks,Two,Stall,Asphalt Shingle,M-CG d62,,,,,,,,,,,,,,,,,,,,
735,"$440,000","54 Martin Crossing Grove NE, Calgary, AB, T3J 3X9",1224.17,3+0,1+0,2 Storey,,1999,,"Vinyl Siding, Wood Frame",None,None,,1224.17 Square Feet,"Carpet, Laminate",Poured Concrete,"Forced Air, Natural Gas","Open Floorplan, Pantry, See Remarks",Two,"Off Street, Parking Pad",Asphalt Shingle,R-C1N,3056.00 Square Feet,,,,,,,,,,,,,,,,,,,
736,"$1,075,000","54 Masters Avenue SE, Calgary, AB, T3M 2B1",2575.00,4+1,3+1,2 Storey,,2014,,Wood Frame,None,"Fire Pit, Lighting, Private Yard, Rain Gutters","Basement, Family Room, Gas, Living Room, Mantle",2575.00 Square Feet,"Carpet, Hardwood, Tile, Vinyl",Poured Concrete,"Forced Air, Natural Gas","Bookcases, Breakfast Bar, Built-in Features, Closet Organizers, Double Vanity, Dry Bar, High Ceilings, Kitchen Island, No Smoking Home, Open Floorplan, Pantry, Separate Entrance, Storage, Vaulted Ceiling(s), Walk-In Closet(s), Wired for Sound",Two,"Double Garage Attached, Driveway, Garage Door Opener, Heated Garage, Insulated",Asphalt Shingle,R-1N,4467.00 Square Feet,,,,,,,,,,,,,,,,,,,
737,"$525,000","5416 Thornbriar Road NW, Calgary, AB, T2K 2X8",883.30,2+1,1+0,Bungalow,,1955,,Vinyl Siding,None,None,,883.30 Square Feet,"Carpet, Linoleum",Poured Concrete,Forced Air,Sump Pump(s),One,Single Garage Detached,Asphalt Shingle,R-C1,5995.00 Square Feet,,,,,,,,,,,,,,,,,,,
738,"$239,000","547-26 Val Gardena View SW, Calgary, AB, T3H 5Z5",632.40,1+0,1+0,Low-Rise(1-4),"Common Area Maintenance, Heat, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Water",2008,$422 Monthly,"Stucco, Wood Frame",None,None,,632.40 Square Feet,"Carpet, Ceramic Tile",,"Baseboard, Natural Gas","High Ceilings, No Animal Home, No Smoking Home",Single Level Unit,Parkade,,M-1 d110,,,,,,,,,,,,,,,,,,,,
739,"$649,900","55 Edgeland Road NW, Calgary, AB, T3A 2Y3",1305.00,3+1,3+0,4 Level Split,,1983,,"Brick, Wood Frame, Wood Siding",None,Garden,,1305.00 Square Feet,"Hardwood, Laminate, Tile",Poured Concrete,Forced Air,Walk-In Closet(s),4 Level Split,Single Garage Attached,Shingle,R-C1,4789.00 Square Feet,,,,,,,,,,,,,,,,,,,
740,"$898,000","55 Hidden Creek Crescent NW, Calgary, AB, T3A 6E7",2521.10,3+2,3+1,2 Storey,,2002,,"Concrete, Vinyl Siding",Wall/Window Unit(s),Awning(s),"Basement, Gas, Living Room",2521.10 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"Fireplace(s), Forced Air","Bookcases, Breakfast Bar, French Door, Granite Counters, Kitchen Island, No Animal Home, No Smoking Home, Open Floorplan, Pantry, See Remarks",Two,Double Garage Attached,Asphalt Shingle,R-C1,5349.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
741,"$849,900","55 Savanna Way NE, Calgary, AB, T3J 0Y8",2654.32,4+2,4+1,2 Storey,,2019,,"Concrete, Stone, Vinyl Siding, Wood Frame",None,"Other, Private Yard","Decorative, Electric, Family Room",2654.32 Square Feet,"Carpet, Ceramic Tile",Poured Concrete,"Forced Air, Natural Gas","Breakfast Bar, Built-in Features, Ceiling Fan(s), Chandelier, Closet Organizers, Double Vanity, French Door, High Ceilings, Jetted Tub, Kitchen Island, No Animal Home, No Smoking Home, Open Floorplan, Separate Entrance, Stone Counters, Tray Ceiling(s), Walk-In Closet(s), Wired for Sound",Two,"Double Garage Attached, Driveway, Garage Door Opener, Insulated",Asphalt Shingle,R-1N,4025.00 Square Feet,,,,,,,,,,,,,,,,,,,
742,"$739,900","5543 Dalrymple Hill NW, Calgary, AB, T3A 1R1",2114.30,4+0,3+0,2 Storey,,1974,,Vinyl Siding,None,Private Yard,Gas,2114.30 Square Feet,"Ceramic Tile, Hardwood",Poured Concrete,Forced Air,"Jetted Tub, No Animal Home, No Smoking Home, See Remarks, Storage",Two,Double Garage Attached,Asphalt Shingle,R1,5932.00 Square Feet,,,,,,,,,,,,,,,,,,,
743,"$449,000","56 Fenton Road SE, Calgary, AB, T2H 1Y7",1125.00,3+1,2+1,Bungalow,,1959,,"Stucco, Vinyl Siding, Wood Frame",Central Air,Other,Gas,1125.00 Square Feet,"Cork, Hardwood, Laminate, Tile",Poured Concrete,"Central, Natural Gas",See Remarks,One,"Garage Faces Front, On Street, Single Garage Detached",Asphalt,RC-1,5996.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
744,"$450,000","56 Royal Oak Lane NW, Calgary, AB, T3G 6B4",1297.30,2+0,2+1,4 Level Split,"Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal",2006,$372 Monthly,"Concrete, Vinyl Siding, Wood Frame",None,Playground,Gas,1297.30 Square Feet,"Tile, Wood",Poured Concrete,"Forced Air, Natural Gas","High Ceilings, Laminate Counters",4 Level Split,"Concrete Driveway, Single Garage Attached",Asphalt Shingle,M-CG d35,1173.00 Square Feet,,,,,,,,,,,,,,,,,,,
745,"$600,000","57 Everglen Crescent SW, Calgary, AB, T2Y 0G4",1670.00,3+1,3+1,2 Storey,,2007,,"Stone, Vinyl Siding, Wood Frame",Central Air,Dog Run,Gas,1670.00 Square Feet,"Carpet, Laminate",Poured Concrete,"Forced Air, Natural Gas","Breakfast Bar, Open Floorplan, Pantry",Two,"Double Garage Attached, Driveway, Garage Faces Front, Heated Garage, Insulated",Asphalt Shingle,R-1N,3681.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
746,"$445,000","57 Martinvalley Way NE, Calgary, AB, T3J 4A2",1091.00,2+1,1+1,2 Storey,,2000,,"Vinyl Siding, Wood Frame",None,"Fire Pit, Private Yard, Storage","Gas, Living Room",1091.00 Square Feet,"Ceramic Tile, Laminate",Poured Concrete,"Fireplace Insert, Forced Air","Bathroom Rough-in, Ceiling Fan(s), Laminate Counters, No Smoking Home",Two,"Additional Parking, Double Garage Detached, Garage Faces Rear, Insulated",Asphalt Shingle,R-C1N,3745.00 Square Feet,,,,,,Yes,,,,,,,,,,,,,
747,"$819,900","570 Creekstone Circle SW, Calgary, AB, T2X 4Y3",2239.00,5+0,3+0,2 Storey,,2023,,"Brick, Vinyl Siding, Wood Frame",None,Private Yard,"Electric, Living Room",2239.00 Square Feet,"Carpet, Tile",Poured Concrete,"Forced Air, Natural Gas","Double Vanity, High Ceilings, Kitchen Island, No Animal Home, No Smoking Home, Open Floorplan, Pantry, Recessed Lighting, Soaking Tub, Storage, Vaulted Ceiling(s), Walk-In Closet(s)",Two,"Additional Parking, Double Garage Attached, Driveway",Asphalt Shingle,R-G,4617.00 Square Feet,,,,,,,,,,,,,,,,,,,
748,"$549,900","58 Arbour Ridge Close NW, Calgary, AB, T3G 4M6",1430.00,3+0,1+1,2 Storey,,2001,,"Concrete, Vinyl Siding",None,Garden,Gas,1430.00 Square Feet,"Carpet, Hardwood, Tile",Poured Concrete,"Central, Natural Gas","French Door, High Ceilings, Kitchen Island, No Animal Home, No Smoking Home, Open Floorplan, Pantry, Sauna",Two,Double Garage Attached,Asphalt Shingle,R-C1,4176.00 Square Feet,,,,,,,,,,,,,,,,,,,
749,"$479,000","59 Aspen Hills Common SW, Calgary, AB, T3H 0R7",1111.50,3+0,2+1,2 Storey,Parking,2010,$307 Monthly,"Brick, Stucco, Vinyl Siding",None,Courtyard,,1111.50 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,Forced Air,"Breakfast Bar, Granite Counters, No Animal Home, No Smoking Home, Open Floorplan, See Remarks",Two,Double Garage Attached,Asphalt Shingle,DC,,,,,,,,,,,,,,,,,,,,
750,"$467,000","59 Kincora Heath NW, Calgary, AB, T3R 0G6",1382.00,3+0,2+1,2 Storey,"Caretaker, Common Area Maintenance, Professional Management, Reserve Fund Contributions, Snow Removal",2008,$288 Monthly,"Stone, Vinyl Siding, Wood Frame",None,Private Entrance,Gas,1382.00 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"Forced Air, Natural Gas","Breakfast Bar, Closet Organizers, Kitchen Island, Open Floorplan, Pantry, Separate Entrance, Walk-In Closet(s)",Two,Double Garage Attached,Asphalt Shingle,M-1 d75,2002.00 Square Feet,,,,,,,,,,,,,,,,,,,
751,"$160,000","6-609 67 Avenue SW, Calgary, AB, T2V 0M3",516.67,1+0,1+0,Low-Rise(1-4),"Common Area Maintenance, Gas, Heat, Insurance, Maintenance Grounds, Professional Management, Snow Removal, Trash, Water",1964,$446 Monthly,Stucco,None,None,,516.67 Square Feet,"Ceramic Tile, Laminate",Poured Concrete,"Baseboard, Natural Gas","Laminate Counters, No Animal Home, No Smoking Home",Single Level Unit,Stall,Tar/Gravel,M-C1,,,,,,,,,,,,,,,,,,,,
752,"$324,900","601-300 Meredith Road NE, Calgary, AB, T2E 7A8",965.27,2+0,1+1,High-Rise (5+),"Amenities of HOA/Condo, Caretaker, Common Area Maintenance, Heat, Insurance, Interior Maintenance, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash, Water",1978,$659 Monthly,"Brick, Concrete, Stucco",Wall Unit(s),None,,965.27 Square Feet,"Hardwood, Tile",Poured Concrete,"Baseboard, Natural Gas","Breakfast Bar, Ceiling Fan(s), Granite Counters, Kitchen Island, No Animal Home, No Smoking Home, Pantry, Storage, Walk-In Closet(s)",Single Level Unit,"Assigned, Heated Garage, Parkade, Secured, Stall, Underground",Tar/Gravel,M-C2,,,,,Yes,Yes,,,,,,,,,,,,,,
753,"$364,900","603-210 15 Avenue SE, Calgary, AB, T2G 0B5",1000.65,2+0,2+0,High-Rise (5+),"Amenities of HOA/Condo, Common Area Maintenance, Heat, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Residential Manager, Sewer, Snow Removal, Trash, Water",2009,$545 Monthly,"Brick, Concrete, Stone, Stucco",Central Air,Other,,1000.65 Square Feet,"Carpet, Hardwood, Tile",Poured Concrete,"Forced Air, Natural Gas","Granite Counters, High Ceilings, No Animal Home, No Smoking Home, Open Floorplan",Single Level Unit,"Guest, Parkade, Secured, Stall, Titled, Underground",Tar/Gravel,DC (pre 1P2007),,,,,Yes,,,,,,,,,,,,,,,
754,"$200,000","603-2200 Woodview Drive SW, Calgary, AB, T2W 3N6",1024.00,2+0,1+0,3 Storey,"Amenities of HOA/Condo, Common Area Maintenance, Insurance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash, Water",1978,$328 Monthly,"Stucco, Wood Frame, Wood Siding",None,None,,1024.00 Square Feet,"Carpet, Linoleum",Poured Concrete,Forced Air,No Smoking Home,Three Or More,Stall,Asphalt Shingle,M-C1 d100,,,,,,,,,,,,,,,,,,,,
755,"$425,000","603-920 5 Avenue SW, Calgary, AB, T2P 0C3",930.00,2+0,2+0,Apartment,"Amenities of HOA/Condo, Caretaker, Common Area Maintenance, Gas, Heat, Insurance, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash, Water",2006,$653 Monthly,"Brick, Concrete, Metal Frame",Central Air,None,Gas,930.00 Square Feet,"Carpet, Hardwood, Tile",,Boiler,"Breakfast Bar, Granite Counters, High Ceilings, Storage, Walk-In Closet(s)",Single Level Unit,"Titled, Underground","Concrete, Membrane, Metal, Tar/Gravel",CR20-C20/R20,,,,,Yes,,,,,,,,,,,,,,,
756,"$235,000","606-1540 29 Street NW, Calgary, AB, T2N 4M1",980.04,2+0,1+0,Apartment,"Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal",1978,$511 Monthly,"Mixed, Stucco, Vinyl Siding, Wood Frame",None,Courtyard,,980.04 Square Feet,"Laminate, Tile",Poured Concrete,Forced Air,"Open Floorplan, Storage",Single Level Unit,"Assigned, Attached Carport, Common","Asphalt Shingle, Flat, Mixed, See Remarks",M-C1 d75,,,,,,,,,,,,,,,,,,,,
757,"$209,999","606-221 6 Avenue SE, Calgary, AB, T2G 4Z9",928.00,2+0,1+0,High-Rise (5+),"Caretaker, Common Area Maintenance, Heat, Insurance, Professional Management, Reserve Fund Contributions, Security Personnel, Snow Removal, Trash, Water",1980,$681 Monthly,Concrete,None,Other,,928.00 Square Feet,"Laminate, Tile",,"Baseboard, Natural Gas",,Single Level Unit,"Assigned, Covered, Parkade",Tar/Gravel,CR20-C20/R20,,,,,,,,,,,,,,,,,,,,
758,"$485,000","608-910 5 Avenue SW, Calgary, AB, T2P 0C3",930.00,2+0,2+0,Apartment,"Amenities of HOA/Condo, Caretaker, Common Area Maintenance, Gas, Heat, Insurance, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash, Water",2007,$698 Monthly,"Brick, Concrete, Stone",Central Air,None,Gas,930.00 Square Feet,"Carpet, Hardwood, Tile",Poured Concrete,Boiler,"Bookcases, Breakfast Bar, Built-in Features, Closet Organizers, Granite Counters, High Ceilings, Storage",Single Level Unit,"Secured, Titled, Underground","Concrete, Flat, Metal, Tar/Gravel",CR20-C20/R20,,,,,Yes,,,,,,,,,,,,,,,
759,"$224,900","609-505 19 Avenue SW, Calgary, AB, T2S 0E8",489.44,1+0,1+0,High-Rise (5+),"Common Area Maintenance, Heat, Insurance, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Water",1969,$384 Monthly,"Brick, Concrete",None,Other,,489.44 Square Feet,"Carpet, Hardwood, Tile",,Baseboard,"Breakfast Bar, Laminate Counters",Single Level Unit,"Parkade, Titled, Underground",,C-COR1 f3.0h16,,,,,,,,,,,,,,,,,,,,
760,"$449,900","61 Cedarwood Hill SW, Calgary, AB, T2W 3H4",880.55,2+1,2+0,"4 Level Split, Side by Side",,1978,,"Aluminum Siding, Brick, Wood Frame",None,"Garden, Private Yard",,880.55 Square Feet,Laminate,Poured Concrete,Forced Air,"Breakfast Bar, Double Vanity, Kitchen Island, Low Flow Plumbing Fixtures, No Animal Home, No Smoking Home, Open Floorplan, Recessed Lighting, Storage",4 Level Split,None,Asphalt Shingle,R-C2,3444.00 Square Feet,,,,,,,,,,,,,,,,,,,
761,"$379,900","611-301 10 Street NW, Calgary, AB, T2N 1V5",575.84,1+0,1+0,Apartment,"Common Area Maintenance, Heat, Insurance, Interior Maintenance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash, Water",2016,$444 Monthly,"Brick, Concrete, Stucco",Central Air,None,,575.84 Square Feet,"Carpet, Laminate, Tile",Poured Concrete,"Fan Coil, Natural Gas",See Remarks,Single Level Unit,"Stall, Titled, Underground",Tar/Gravel,DC,,,,,Yes,,,,,,,,,,,,,,,
762,"$744,000","611 49 Avenue SW, Calgary, AB, T2S 1G6",1424.00,3+1,1+1,Bungalow,,1952,,Stucco,None,Private Yard,,1424.00 Square Feet,"Carpet, Ceramic Tile, Hardwood, Vinyl",Poured Concrete,"Forced Air, Natural Gas","Breakfast Bar, Ceiling Fan(s), Jetted Tub, No Smoking Home",Two,Single Garage Detached,Asphalt Shingle,R-C1,5995.00 Square Feet,,,,,,,,,,,,,,,,,,,
763,"$1,049,000","617 55 Avenue SW, Calgary, AB, T2V 0G2",1994.33,3+2,3+1,"2 Storey, Side by Side",,2023,,"Composite Siding, Stucco",None,Private Yard,Gas,1994.33 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,Forced Air,"Built-in Features, Closet Organizers, High Ceilings, Kitchen Island, No Animal Home, No Smoking Home, Open Floorplan, Pantry, Separate Entrance, Tray Ceiling(s), Walk-In Closet(s)",Two,Double Garage Detached,"Asphalt Shingle, Metal",R-C2,2998.00 Square Feet,,,,,,,,,,,,,,,,,,,
764,"$290,000","6201-151 Legacy Main Street SE, Calgary, AB, T2X 4A4",848.00,2+0,2+0,Apartment,"Common Area Maintenance, Heat, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Water",2020,$376 Monthly,"Brick, Composite Siding, Wood Siding",None,"Courtyard, Dog Run",,848.00 Square Feet,Laminate,Poured Concrete,"Baseboard, Natural Gas","High Ceilings, Kitchen Island, Pantry",Single Level Unit,"Titled, Underground",Asphalt Shingle,M-X2,,,,,,,,,,,,,,,,,,,,
765,"$385,000","622-63 Inglewood Park SE, Calgary, AB, T2G 1B7",892.00,1+0,2+0,Apartment,"Amenities of HOA/Condo, Common Area Maintenance, Heat, Insurance, Parking, Professional Management, Reserve Fund Contributions, Residential Manager, Sewer, Snow Removal, Trash, Water",2015,$584 Monthly,"Brick, Composite Siding, Concrete",Central Air,"Courtyard, Garden",,892.00 Square Feet,Hardwood,,"Forced Air, Heat Pump","Kitchen Island, No Animal Home, No Smoking Home",Single Level Unit,"Heated Garage, Parkade, Underground",,DC (pre 1P2007),,,,,Yes,,,,,,,,,,,,,,,
766,"$729,000","6243 Silver Springs Hill NW, Calgary, AB, T3B 3E5",1460.19,3+1,3+0,Bungalow,,1973,,"Concrete, Stucco, Wood Frame",Central Air,Garden,Gas,1460.19 Square Feet,"Carpet, Hardwood, Tile",Poured Concrete,Forced Air,"Built-in Features, Central Vacuum, Closet Organizers, Granite Counters, Jetted Tub, Kitchen Island, No Smoking Home, Open Floorplan, Tankless Hot Water",One,"Double Garage Attached, Driveway",Asphalt Shingle,R-C1,5844.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
767,"$519,900","631 Agate Crescent SE, Calgary, AB, T2J 0Z4",1035.26,2+1,1+1,Bungalow,,1961,,"Brick, Stucco, Vinyl Siding, Wood Frame",None,Private Yard,Gas,1035.26 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,Forced Air,"No Animal Home, See Remarks",One,Attached Carport,Asphalt Shingle,R-C1,4994.00 Square Feet,,,,,,,,,,,,,,,,,,,
768,"$580,000","6336 34 Avenue NW, Calgary, AB, T3B 1M7",897.10,2+2,2+0,Bungalow,,1950,,"Aluminum Siding, Concrete, Stucco",None,"Fire Pit, Private Entrance, Private Yard",None,897.10 Square Feet,Vinyl,Block,Forced Air,"Breakfast Bar, Kitchen Island, Open Floorplan, See Remarks, Separate Entrance",One,"Oversized, Single Garage Detached",Tar/Gravel,R-C2,6092.00 Square Feet,,,,,,,,,,,,,,,,,,,
769,"$769,000","639 54 Avenue SW, Calgary, AB, T2V 0C9",1814.86,3+0,3+1,2 Storey,,2007,,"Composite Siding, Stone",Central Air,"Private Yard, Storage","Gas, Great Room, Mantle, Marble",1814.86 Square Feet,"Carpet, Hardwood, Laminate",Poured Concrete,"In Floor, Forced Air, Natural Gas","Kitchen Island, No Animal Home, No Smoking Home, Open Floorplan, Pantry, Sauna, Walk-In Closet(s)",Two,"Alley Access, Double Garage Detached, Insulated, Off Street",Asphalt Shingle,R-C2,3003.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
770,"$1,250,000","64 Rockcliff Grove NW, Calgary, AB, T3G 0C8",1643.30,2+2,2+1,Bungalow,,2011,,"Stone, Stucco, Wood Frame",Central Air,"Private Yard, Storage","Basement, Gas, Great Room, Insert, Mantle, Tile",1643.30 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"In Floor, Forced Air, Natural Gas","Central Vacuum, Closet Organizers, Double Vanity, Granite Counters, High Ceilings, Kitchen Island, No Animal Home, No Smoking Home, Open Floorplan, Pantry, Recessed Lighting, Soaking Tub, Storage, Tankless Hot Water, Wet Bar",One,"Aggregate, Double Garage Attached, Garage Door Opener, Garage Faces Front, Heated Garage, Insulated, Oversized, See Remarks, Side By Side",Asphalt Shingle,R-C1,7222.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
771,"$384,500","6429 128 Avenue NE, Calgary, AB, T3N 1E6",1429.00,3+0,2+1,Townhouse,"Insurance, Professional Management, Reserve Fund Contributions, Snow Removal",2016,$249 Monthly,"Brick, Vinyl Siding",None,None,,1429.00 Square Feet,"Carpet, Linoleum, Vinyl",Poured Concrete,"Forced Air, Natural Gas","High Ceilings, Kitchen Island, No Animal Home, No Smoking Home, Open Floorplan, Pantry",Three Or More,Double Garage Attached,Asphalt,M-G,,,,,,,,,,,,,,,,,,,,
772,"$325,000","6501B Huntsbay Road NW, Calgary, AB, T2K 5R3",991.93,2+0,1+1,"2 Storey, Side by Side",,1976,,"Stucco, Wood Frame, Wood Siding",None,Storage,Gas,991.93 Square Feet,"Carpet, Ceramic Tile",Poured Concrete,"Forced Air, Natural Gas","Built-in Features, Storage",Two,"Parking Pad, Stall",Asphalt Shingle,R-C2,3164.00 Square Feet,,,,,,,,,,,,,,,,,,,
773,"$1,025,000","652 Lake Bonavista Drive SE, Calgary, AB, T2J 0M9",1860.00,3+1,3+1,2 Storey,,1970,,"Stucco, Wood Frame",Central Air,Dog Run,"Brick Facing, Den, Wood Burning",1860.00 Square Feet,"Carpet, Hardwood, Tile",Poured Concrete,"Forced Air, Natural Gas","Bookcases, Built-in Features, Closet Organizers, Double Vanity, Granite Counters, Kitchen Island, Recessed Lighting, Soaking Tub",Two,Double Garage Detached,Asphalt Shingle,R-C1,10430.00 Square Feet,,,,Yes,,Yes,,,,,,,,,,,,,
774,"$274,900","6599 Pinecliff Grove NE, Calgary, AB, T1Y 7K8",937.97,2+0,2+0,2 Storey,"Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal, Trash",2003,$306 Monthly,"Stucco, Vinyl Siding, Wood Frame",None,"Awning(s), Other",,937.97 Square Feet,"Carpet, Hardwood, Linoleum",Poured Concrete,"Forced Air, Natural Gas","Central Vacuum, See Remarks, Walk-In Closet(s)",Two,"Driveway, Garage Faces Front, Single Garage Attached",Asphalt Shingle,M-CG d44,,,,,,,,,,,,,,,,,,,,
775,"$679,900","66 Legacy Glen Crescent SE, Calgary, AB, T2X 4G5",2065.00,3+0,2+1,2 Storey,,2021,,"Stone, Vinyl Siding",None,None,"Gas, Great Room, Insert, Tile",2065.00 Square Feet,"Carpet, Ceramic Tile, Laminate, See Remarks",Poured Concrete,"Forced Air, Natural Gas","Bathroom Rough-in, Double Vanity, High Ceilings, Kitchen Island, No Animal Home, No Smoking Home, Open Floorplan, Pantry, Separate Entrance, Soaking Tub, Tray Ceiling(s), Walk-In Closet(s)",Two,"Concrete Driveway, Double Garage Attached, Garage Door Opener, Garage Faces Front, Insulated",Asphalt Shingle,R-1N,3605.00 Square Feet,,,,,,,,,,,,,,,,,,,
776,"$660,000","664 Cranston Drive SE, Calgary, AB, T3M 0B3",1742.00,3+1,3+1,2 Storey,,2006,,"Stone, Vinyl Siding, Wood Frame",Central Air,"Fire Pit, Storage",Gas,1742.00 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,Forced Air,"Kitchen Island, Pantry, Storage",Two,Double Garage Attached,Asphalt Shingle,R-1N,3928.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
777,"$1,275,000","665 3 Avenue NW, Calgary, AB, T2N 0J2",2579.09,2+0,2+2,3 Storey,"Common Area Maintenance, Insurance, Maintenance Grounds, Reserve Fund Contributions, Snow Removal",2004,$608 Monthly,"Brick, Concrete, Stucco, Wood Frame",Central Air,Other,"Gas, Living Room",2579.09 Square Feet,"Carpet, Ceramic Tile, Hardwood, Tile",Poured Concrete,"In Floor, Forced Air, Natural Gas","Bookcases, Built-in Features, Central Vacuum, Closet Organizers, Double Vanity, Granite Counters, High Ceilings, Kitchen Island, Natural Woodwork, No Animal Home, No Smoking Home, Open Floorplan, Soaking Tub, Steam Room, Storage, Walk-In Closet(s)",Three Or More,"Double Garage Attached, Garage Door Opener, Heated Garage, Single Garage Attached",Asphalt Shingle,M-CG d72,,,,,Yes,,,,,,,,,,,,,,,
